Number,File Location,Title/Description,Date,Source Type,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Independent Source Verification for 3/4s
1,https://www.unccd.int/resources/publications/drought-hotspots-around-world-2023-2025,"Global Drought Hotspots Report Catalogs Severe Suffering, Economic Damage",2025,Government,Urgent alert report on global drought conditions,"90+ million people facing acute hunger across south and eastern africa. Zimbabwe corn crop down 70% yoy. Victoria Falls water down 73%. 4.4 million people at 4/5 hunger in Somalia alone. Droughts are now multi-year, escalating and compounding crises. Widespread across continents",,4,(put full calc + expanded rural pop here),"Multiple Climate extremes, food price spikes, and their wider societal risks"
2,https://www.politico.com/news/2025/07/22/u-s-olympic-committee-transgender-00468845,U.S. Olympic & Paralympic Committee will comply with Trump's ban on transgender women in women's sports,2025,News/Media,US Olympic committee complies with executive orders and requests re Trans atheletes,Trans bans now on the 'athlete and official bans' stage,,2,identification > ban from sports/bathrooms/third spaces > ban from institutions > laws against employment/culture > arrests > more. It's a cycle that bears reminding,
3,https://www.cnn.com/2025/07/21/politics/fema-search-and-rescue-chief-resigns,Protest resignation by head of search and rescue at FEMA,2025,Government,Head of S&R leaves after disputes with executive department changes,Any bills over five figures must be approved by secretary. 3+ day delays resulted. 170 dead in Texas and FEMA unable to respond at scale,,2,"3 days is quite a long time in disaster management. The reputation for FEMA is that it's always late, is this a bias in reporting? In this instance it's a head of FEMA implying the same thing",
4,https://www.nytimes.com/2025/07/18/climate/epa-firings-scientific-research.html,EPA says it will eliminate its scientific research arm,2025,Government,One of the larger government research departments for Environmental science (once upon a time) to be dismanted,"3,700 employees and many dozens of regulations already dropped. This move will remove 'the heart and soul' of the EPA, per former head",,4,"of note EPA research is behind the identification of forever chemicals and many other environmental exposures. To loose them is to literally lose the identifiers for some of the items on this list. If any threats like chemical synergy, microplastics, pfos, etc are immediately dangerous...we are now much less likely to be made aware inside the next few years. So again, we're assuming 'safety'",Observation
5,https://www.pnas.org/doi/10.1073/pnas.2500440122,"Rising surface salinity and declining sea ice: A new Southern 
 Ocean state revealed by satellites",2025,Academic/Peer-reviewed,Retrospective study/modelling of observation on SMOC,"Salinity pump function of SMOC has flickered and then shifted, starting in 2015, and going unnoticed until at least 2024. This is likely the cause of at least some of Antartica ice melt, and represents 'double current CO2 in atmosphere' levels of deep carbon upwelling. Sailinity is greatest driver of current changes. And get this, 2024/2025 had antarctica vortex collapses, implying ACC is likely already shifting/shifted as well, fundamentally flickering as a whole to allow such. I bet this still isn't spotted for a bit...",,4,"This is exactly what I predicted. No I didn't know about this data, and I read no preprint. It's actually pretty elementary. The whole system has already started a cascade, which means there is no portion of it I wouldn't expect to be under some transformation. I'm kicking myself I didn't connect the possibility of salinity changes around antarctica causing the sudden drop in sea ice. So obvious. Here's the next step of this prediction though, not just this currents, its almost all of them. And they're all past tipping/flickering, into falling. Everything was too soft for us to notice, and now that we're into hard breaks we think we're in soft ones. We won't have warnings anymore, we'll just watch things change ever more rapidly",Multiple Probabilities of AMOC collapse
6,https://www.reuters.com/business/energy/bezos-backed-methane-tracking-satellite-is-lost-space-2025-07-01/,Bezos-backed methane tracking satellite is lost in space,2025,News/Media,"Hole in atmospheric monitorring from satellite loss, especially about 40N",,,3,"Do you know where this satellite covered that the others often can't? The arctic circle. You know the ESAS and the 50+Gt sitting there. Oh well at least we have the NOAA/OAR sites…oh wait. 2028 we might get this fixed, but I wouldn't count on it (new satellite, not election)",Observation
7,https://www.theatlantic.com/magazine/archive/2025/09/sudan-civil-war-humanitarian-crisis/683563/,The most nihilistic conflict on earth,2025,News/Media,Report on South Sudan's situation following Sudan civil war,"55% increase in poverty, 57% of population is food insecure, 92% of the population lives on less than $2 a day, and 30% loss of GDP in just the last year. At least 200,000 refugees from Sudan",30%,3,"30% loss of GDP is nearing a collapse already of sorts, but here we see food insecurity and refugee surges as well. And it's easy to say 'it's just Sudan', but regional instability grows when one nation's problems infect its neighbors.",Observation
8,https://arstechnica.com/tech-policy/2025/07/skydance-deal-allows-trumps-fcc-to-censor-speech-and-silence-dissent-on-cbs/,Skydance deal allows Trump’s FCC to “censor speech” and “silence dissent” on CBS,2025,News/Media,A FCC chairman is giving a national warning,"8 billion dollar deal suddenly approved after oversight, Colbert (Trump critic) removed from Late Show. South Park had deal threatened. FCC now has “never-before-seen controls” over a newsroom, commissioner warns",,3,"This is an FCC commissoner warning about the FCC. This is almost the definition of a whistleblower, so either he didn't know what he was doing (and thus the government that appointed him was incompetent) or he was competent…and we might want to believe him. Could the government be censoring? Well they actually SAY they are. Banning climate change under the assumption it's not dangerous. Bias.",Observation
9,https://arstechnica.com/tech-policy/2025/07/skydance-deal-allows-trumps-fcc-to-censor-speech-and-silence-dissent-on-cbs/,Taiwan recall votes aims to unseat 'pro china legislators',2025,News/Media,"After losing control of upper house, Taiwan's former ruling party has launched recount efforts","Another example of government dysfunction. Recall entirely fails. Legitimate problems with pro china, or government party overreach?",,2,"How many countries have this amount of party on party fighting? Is this typical? Maybe this is how its always been, but it is interesting to note how many nations (like Taiwan) had ONE major party for so many decades previously.",
10,,Winning the Race AMERICA’S AI ACTION PLAN,2025,Government,"After a political alliance with Elon Musk and Silicon Valley tech moguls, new AI plan","Rollback of state regulations on AI, government investment in private enterprise",,2,"The p doom for many researchers is >10%, yet there has never been more investment in total dollars for any technology ever. So who has a bias? Lots of researchers? Everyone?",
