Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
,,,,,,,,,,,,,,
1,Atmosphere & Solar/2c by 2029.rtf,"Article predicting world could see first year above 2°C warming by 2029, 1% chance by Met Office",2025,News/Media,Primary,12 months of 2C possible by 2029,"2C generally around 2040 to never, IPCC definitions",70%,"2050 - 2020 = 30 years - 9 years = off by 21 years. Only 1% chance, though they usually say something like 50% chance of 2C by such and such date. 70% possible update in error then. Might seem harsh, but remember some people think 2C will never be reached",TRUE,FALSE,3,"1% is using their math, so severe outcomes start to appear even with current assumptions.  Speed of attaining 2C is above even high pathways and while we can define this however we want for semantics, the physics of 2C don't take all that long to have effect . From a systems view 1 year of 2C is probably long enough for a good percentage of its effects to 'kick in'.","Nearly matches my own predictions, should it happen"
2,Atmosphere & Solar/Phoenix record streak of daily heat reaches 3 weeks.html,"News report on Phoenix reaching 21 consecutive days of record heat in October 2024, with temperatures hitting 101°F and predictions of hottest October ever",2024,News/Media,Secondary,"18 days of record heat + 3 more that tied.  Above 100 in Oct.  3x the number of days at record October heat (7), previous record was 2020.  Never reached 110 after Sept 19, this year was 9 times.","7 was previous day record, in 2020.  This event suggests heating increases occur non-linearly, and rather than 'gentle' across the board heating, even 'small' heating ~1.5C may cause large, broad leaps in heat events for a location",200%,,TRUE,TRUE,2,"Is there a cap to this, or do heatwaves stretch into months/years/etc?  Likewise what's the peak?  How do we define these quantities with wrong base assumptions?  Next time this happens in the middle of summer, could Pheonix powergrid handle 120 for 10 days?",
3,Atmosphere & Solar/004_solar-cycle-25.jpg,2025 sunspot activity - higher than expected,2025,Academic/Peer-reviewed,Secondary,Sunspot activity nearly 2x prediction,120 daily sunspot predicted vs 220 actual (at date of measurement),83%,,FALSE,TRUE,1,"Supposed to be only a small forcing, but again when we don’t expect things they can add up.  We've only had 25 cycles, why do we act like we understand the distribution? Also in 2023, many small errors = huge error",
4,Atmosphere & Solar/20-year-running-average-for-global-mean-surface-temperature-v0-p_mkMl73UoS7lm4QKwcjQIWKWBen5rDYoP01s_avA4A.webp,ECMWF Global Temps as quadratic,2024,Academic/Peer-reviewed,Secondary,Quadratic growth in heating up through 2024,"IPCC 2.6 and below are not being met, growth is steady and high rather than flatlining by 2020.  No emissions reduction is being seen at all in terms of heating",,,TRUE,TRUE,2,"No bending in heating, but steady quadratic.  This smoothness likely means all efforts are doing nothing for heating or else….we're somehow exactly correcting for quadratic?",
5,Atmosphere & Solar/20201214_GlobalWarmingAcceleration.pdf,Global Warming Acceleration by James Hansen,2020,Academic/Peer-reviewed,Primary,"Ch4 growth is increasing, 2020 likely to be hottest year with hottest Nov ever, -1.6 ±0.3 W/m2 is assessed aerosol cooling",IPCC estimates -.5 to 1 w/m2 aerosol forcing,60%,Using the lower end,TRUE,TRUE,3,">aerosol + >EEI = current understanding, errors balancing out to make things look normal.  2020 and expectation is already 'most years hotter than others'.",Multiple
6,Atmosphere & Solar/23 whiteboard.jpeg,Photo of the original 23 whiteboard,2023,Other,Secondary,"2 days of 2C in 2023, >50% of days above 1.5C","2023 event wasn't yet 'a jump', year might be hottest but only 55% chance or so (depending on forecast office, like NOAA)",45%,"45% might seem right, but then the heat actually was above 'the hottest', it was unexplainably hottest. Air temps were only off by 25% or so, but sea was off by a lot…and no one got the 2 days of 2C, or the >1.5C for 50%. We could go much higher, but we'll go with 45 for now",TRUE,TRUE,4,"Why was this amongst the top forecasts done?  This was sloppy and fast and nonspecific, and yet might have understood the largest forcing, human error?  My 2029 prediction is right here, and notice MET is already moving toward it.  I anticipated that at 2C no year is ever cooler than the one before",
7,Atmosphere & Solar/25 europe drought.jpg,ECMWF Drought Map of Europe,2025,Academic/Peer-reviewed,Secondary,Most extensive Europe drought on record,"drought events appear nonlinear, and broader than generally anticipated",,,TRUE,TRUE,2,drought > poorer harvest > inflation > more immigration > more government expenditure > more inflation,
8,Atmosphere & Solar/27-11-2017-Climate-change-updates-report.pdf,"
Climate updates By Royal Society",2017,News/Media,Secondary,"Royal society assesses AR5, finds slight improvement over most AR5 predictions","Sea ice, temp pathway, sea level all appear at or slightly 'better' than projections.  2017 assessment",,"Often overestimated, by 5% to 10% at most though",FALSE,FALSE,1,"When numbers were smaller, our error was much smaller.  So much so that sometimes we *overestimated*.  But what if our observations were in error?  Then…we were making ourselves feel better, is that possible?  Case in point, EEI is off this year by 2x, we just didn't know it.  Maybe this means we felt less need to 'massage' our data in presentation?",
9,Atmosphere & Solar/4357fcce-a5ea-43f9-8017-9cb5cf0bf76c_1000x600.webp,Mauna Loa CO2 Readings,2025,Academic/Peer-reviewed,Secondary,"23 and 24 are new record setting CO2 growth years, with both above 3ppm (only 2 and 3rd time it's happened)","CO2 growth isn't declining yet, but instead accelerating.  2 and 3rd times above 3, and highest amounts yet recorded",,,TRUE,TRUE,2,All talk of green energy ignores the growth in this number - that tech is just an 'adjuctant' until this falls,
